"id","issint","threat.MMR","threat.PHL","imp.MMR","imp.PHL","odaimp","potential.MMR","potential.PHL","threat.CHN","threat.CHN.3cat","treatment","treat_China","treat_MMR","treat_PHL","med_econ","med_secu","med_repu","med_effi","cancel_aid","cancel_aid_3cat","cancel_aid_2cat","fem","age","right","ide3","comply"
1664,"1","0","0","2","2",1,"2","2",0,"0",5,0,0,1,"4","3","3","3","3","1",0,0,50,0,"0",1
1667,"1","0","0","1","1",1,"1","2",1,"1",2,1,1,0,"4","4","4","2","2","1",0,0,65,1,"2",1
1670,"0","0","2","0","1",NA,"1","1",0,"0",5,0,0,1,NA,"3","3","3","5","2",1,1,44,0,"1",1
1671,"1","1","1","1","1",1,"1","1",1,"2",5,0,0,1,"3","3","4","3","4","2",1,1,45,1,"2",1
1672,"2","0","1","1","2",1,"1","1",1,"2",1,0,1,0,"3","3","3","3","6","2",1,0,63,1,"2",2
1673,"1","0","0","2","2",1,"0","0",1,"1",5,0,0,1,"4","3","3","3","3","1",0,1,37,1,"2",1
1674,"1","0","0","2","2",1,"2","2",1,"2",3,1,0,1,"3","3","3","3","5","2",1,0,38,1,"2",1
1679,"1","0","0","1","1",1,"1","1",0,"0",2,1,1,0,"3","3","3","2","4","2",1,0,68,1,"2",1
1680,"1","0","0","0","1",1,"0","1",1,"2",2,1,1,0,"4","4","2","3","6","2",1,0,28,1,"2",1
1682,"1",NA,NA,NA,NA,NA,"1","1",NA,NA,5,0,0,1,"3","3","4","3","5","2",1,1,23,NA,NA,1
1683,"0","1","1","1","1",1,"1","1",0,"0",3,1,0,1,NA,"3","4","3","4","2",1,1,41,0,"1",2
1684,"1","0","1","2","2",1,"2","2",1,"2",1,0,1,0,"4","4","3","3","4","2",1,0,65,1,"2",1
1685,"1","0","0","1","1",1,"0","2",0,"0",1,0,1,0,"3","3","4","3","4","2",1,1,26,1,"2",1
1686,"0","2","2","1","1",0,"2","2",1,"2",1,0,1,0,"3","3","3","3","4","2",1,0,40,0,"1",1
1689,"2","0","0","1","2",1,"1","2",1,"2",5,0,0,1,"4","4","3","3","4","2",1,0,28,1,"2",1
1690,"1","0","0","2","2",1,"1","1",0,"0",1,0,1,0,"3","3","3","2","7","3",1,1,47,1,"2",1
1691,"1","0","0","2","2",0,"1","1",1,"1",1,0,1,0,"4","4","3","3","3","1",0,1,69,1,"2",1
1693,"0","0","0","1","1",1,"0","0",1,"1",1,0,1,0,"4","4","4","3","5","2",1,0,51,0,"1",1
1694,"2","0","0","0","0",1,"0","0",0,"0",3,1,0,1,"5","5","5","1","9","3",1,0,62,1,"2",4
1697,"2","1","0","1","1",1,"2","2",1,"1",2,1,1,0,"4","4","4","2","2","1",0,0,63,1,"2",2
1698,"2","0","0","2","2",1,"2","2",1,"2",2,1,1,0,"3","2","2","1","9","3",1,0,51,0,"1",1
1700,"2","1","0","2","2",0,"2","1",1,"2",1,0,1,0,"3","3","3","3","6","2",1,0,41,1,"2",1
1702,"2","0","1","2","2",1,"2","1",1,"2",5,0,0,1,"4","4","4","3","2","1",0,0,50,1,"2",1
1704,"0","0","0","2","2",1,"2","2",0,"0",3,1,0,1,"3","3","3",NA,"6","2",1,1,41,0,"1",2
1706,"2","0","0","2","2",1,"2","2",1,"2",2,1,1,0,"4","3","4","3","3","1",0,0,59,1,"2",1
1707,"2","0","0","2","2",1,"2","2",1,"2",5,0,0,1,"3","4","5","3","5","2",1,0,46,1,"2",2
1709,"1","2","2","2","2",1,"2","2",1,"2",3,1,0,1,"5","5","5","1","9","3",1,1,46,0,"1",5
1710,"1",NA,NA,NA,NA,1,"1","1",NA,NA,5,0,0,1,"3","3","3","3",NA,"2",1,1,20,NA,NA,1
1711,"1","0","0","2","1",1,"2","2",0,"0",1,0,1,0,"4","4","4","3","3","1",0,0,34,0,"1",1
1714,"1","1","0","0","2",1,"0","1",1,"2",1,0,1,0,"3","4","3","3","5","2",1,1,66,1,"2",2
1718,"1","1","1","1","1",1,"1","1",1,"2",5,0,0,1,"3","3","4","3","4","2",1,1,65,0,"0",1
1719,NA,"0","2","0","1",NA,"1","1",0,"0",3,1,0,1,NA,NA,NA,NA,NA,NA,NA,1,26,0,"1",6
1722,"2","0","0","2","2",1,"2","2",1,"2",2,1,1,0,"4","4","3","4","6","2",1,0,37,1,"2",1
1723,"1","0","0","2","2",1,"1","2",1,"2",3,1,0,1,"4","4","3","3","4","2",1,0,63,1,"2",1
1724,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,"3",NA,"3","3",NA,NA,NA,0,34,NA,NA,6
1725,"0","0","0","1","1",1,"0","0",1,"1",3,1,0,1,"3","3","3","3","4","2",1,1,61,0,"1",5
1727,"0","1","1","1","1",1,"1","1",1,"2",5,0,0,1,"3","3","3","3","5","2",1,0,38,0,"1",5
1729,"1",NA,NA,NA,NA,1,"1","1",NA,NA,5,0,0,1,"3","3","3","3",NA,NA,NA,1,20,NA,NA,1
1730,"0","1","1","1","1",NA,"1","1",0,"0",2,1,1,0,"3","3","3","3","5","2",1,1,29,0,"1",2
1731,"1","0","0","2","2",1,"1","2",1,"2",1,0,1,0,"4","4","2","3","6","2",1,0,64,1,"2",1
1735,"2","2","2","2","2",1,"2","2",0,"0",1,0,1,0,"4","4","5","2","9","3",1,1,45,1,"2",6
1736,"2","1","1","1","1",1,"1","2",1,"2",2,1,1,0,"4","2","3","3","8","3",1,0,60,0,"1",1
1737,"1","0","0","2","2",1,"2","2",1,"2",1,0,1,0,"3","3","3","3","4","2",1,0,68,0,"1",2
1738,"2","2","1","2","2",1,"2","2",1,"2",5,0,0,1,"5","3","3","3","2","1",0,0,47,1,"2",1
1739,"2","0","0","0","0",1,"0","0",1,"1",1,0,1,0,"4","3","3","2",NA,NA,NA,0,57,1,"2",1
1740,"0","1","1","1","1",0,"1","1",1,"1",3,1,0,1,"3","3","3","3","5","2",1,1,30,0,"1",5
1741,"2","0","0","2","2",0,"1","1",1,"1",1,0,1,0,"3","3","3","3","4","2",1,0,64,1,"2",1
1742,"0","1","1","1","1",NA,"1","0",0,"0",5,0,0,1,"3","1","3",NA,NA,NA,NA,0,29,0,"0",6
1744,"2","0","0","2","2",0,"2","2",0,"0",5,0,0,1,"1","1","1","3","9","3",1,0,34,1,"2",1
1745,"1","0","1","2","2",1,"1","1",1,"2",2,1,1,0,"3","3","3","3","5","2",1,1,43,0,"1",1
1747,"0","0","0","1","1",0,"1","1",1,"1",2,1,1,0,"3","3","4","3","7","3",1,1,29,0,"1",1
1748,"1","1","1","1","1",1,"2","2",0,"0",1,0,1,0,"4","4","4","2","2","1",0,0,39,1,"2",1
1749,"0","0","0","2","2",1,"1","2",1,"2",5,0,0,1,"3","3","4","3","4","2",1,1,53,1,"2",1
1750,"2","1","1","1","1",1,"1","1",1,"1",5,0,0,1,"4","2","2","2","7","3",1,0,30,0,"1",1
1751,"0","1","2","1","1",0,"1","1",1,"2",1,0,1,0,"3","3","3","3","7","3",1,1,51,0,"1",1
1752,"1","1","1","1","1",1,"1","1",1,"1",3,1,0,1,"4","4","3","4","3","1",0,1,67,0,"0",1
1753,"1","1","1","1","1",1,"1","1",1,"1",1,0,1,0,"3","3","3","2","5","2",1,0,41,1,"2",1
1756,"1",NA,NA,NA,NA,1,"1","1",NA,NA,1,0,1,0,"3","3","3","3",NA,"2",1,1,20,0,"1",1
1757,"2","1","2","2","2",0,"2","2",1,"2",2,1,1,0,"3","3","4","3","8","3",1,0,33,1,"2",1
1760,"2","2","1","0","2",1,"1","2",1,"2",2,1,1,0,"3","3","5","5","6","2",1,0,59,1,"2",2
1761,"1","0","0","1","2",1,"1","1",0,"0",5,0,0,1,"4","3","2","3","5","2",1,1,49,0,"1",1
1762,"2","0","0","2","2",0,"2","0",1,"2",5,0,0,1,"1","3","1","3","9","3",1,0,57,0,"1",1
1764,"1","0","0","1","1",1,"1","1",0,"0",3,1,0,1,"4","4","3","3","5","2",1,1,52,0,"1",4
1766,"1","0","0","0","0",1,"0","1",0,"0",2,1,1,0,"3","3","3","3","5","2",1,1,68,0,"1",1
